band,wavelength_nm,importance,importance_pct,communality
1,384,0.004467611601233976,0.7027044092912869,0.13321654864463336
2,389,0.0044676116012337674,0.7027044092912541,0.13321654864463187
3,394,0.004467611601233862,0.7027044092912689,0.13321654864462884
4,399,0.004467611601233958,0.7027044092912841,0.1332165486446332
5,404,0.003030286596653941,0.4766295602547147,0.0969256555334628
6,409,0.002527675000301767,0.3975744819618628,0.07868917525250141
7,414,0.0023200457026647733,0.36491675878215096,0.0716830055033893
8,419,0.002103267791376976,0.33082006289730365,0.06519919762552687
9,424,0.0019662272977253466,0.3092651544281215,0.06157075982190161
10,429,0.0018348026338400319,0.28859355200495485,0.05660883847202668
11,434,0.0017508806156027801,0.2753935745862257,0.0521014718096813
12,439,0.0016619033137748882,0.2613984586491036,0.048880107054570646
13,444,0.0015956856122525856,0.2509831685598747,0.046407253100163914
14,449,0.001621569041097087,0.2550543370498984,0.047226230320181084
15,454,0.001531562337714906,0.24089730797535622,0.04389102512056455
16,459,0.0014480666710263393,0.2277643907981858,0.04049014193007489
17,464,0.0014445375760300126,0.2272093043591494,0.040883699960323594
18,469,0.0014418828357013272,0.22679174394857674,0.04138469403624221
19,474,0.0013612911083844366,0.2141155833525352,0.03808241206070815
20,479,0.001309913086638255,0.20603440583662638,0.036591096910169006
21,484,0.0012231954585873966,0.19239471084214904,0.033465739669866414
22,489,0.0011353702896749124,0.17858081228738015,0.030832764556062518
23,494,0.0010701387876910203,0.16832064015063633,0.028785309970048124
24,499,0.001036675006679354,0.1630571686210251,0.027949216568944203
25,504,0.0010528861009366775,0.16560698906891527,0.028277144034701735
26,509,0.0010043566466278377,0.1579738587596685,0.027395554784496335
27,514,9.920597267696967e-4,0.1560396933540118,0.026900862169003247
28,519,0.0010764248751255956,0.16930937009221106,0.03121661170525523
29,524,0.0011724473089694835,0.18441260503643583,0.035681102327365044
30,529,0.001344407377679913,0.2114599648542579,0.042832609744084774
31,534,0.0015572713432703146,0.2449410416690573,0.05240292218650932
32,539,0.0016303530888754352,0.2564359676964761,0.0576975259399811
33,544,0.0017797794805499184,0.279939036822974,0.06443852163104691
34,549,0.001998318122320174,0.314312675554253,0.0750927961334065
35,554,0.002112095931354734,0.33220862874454465,0.0789717105817032
36,559,0.002003747707154305,0.31516668739416115,0.077341968298927
37,564,0.0018501252443344199,0.29100362407865193,0.07145938849434862
38,569,0.001655084851861096,0.26032599226682385,0.06446385300597991
39,574,0.0014646311210526038,0.2303697900830579,0.05746134471479539
40,579,0.0013333963084197816,0.20972804909909937,0.05219138830037846
41,584,0.0011874818689583647,0.18677737004712364,0.046192827143678096
42,589,0.0010855230447943051,0.17074040853362718,0.04250928897917643
43,594,0.0010267739610751337,0.16149984694141487,0.03991431245218707
44,599,9.760357090880635e-4,0.1535192979202782,0.037694010132486196
45,604,9.614789767419203e-4,0.15122968975432158,0.037556635678130966
46,609,9.360081184338537e-4,0.1472234139096245,0.03528720594706312
47,614,9.124680988764813e-4,0.1435208370040583,0.033933774339479944
48,619,9.229695418492875e-4,0.14517259434994612,0.03205460339998612
49,624,9.970611204121959e-4,0.15682635559748317,0.03416650698991835
50,629,0.0010057712887368534,0.1581963658476391,0.033781972591078485
51,634,0.001082166010297286,0.17021238525099744,0.03604098954494557
52,639,0.001193320757685929,0.18769576072662844,0.03940674674861257
53,644,0.001343507314625933,0.21131839518949622,0.04393340268253151
54,649,0.0014465908068586675,0.22753225417783782,0.04672100922934077
55,654,0.0016106508496660978,0.25333702991918833,0.051783723010435906
56,659,0.0018829172293370463,0.2961614297492243,0.06227518604336219
57,664,0.002129764211876639,0.3349876479914078,0.0730968724277151
58,669,0.00246035066195162,0.3869851305065573,0.08771569127907974
59,674,0.0029572728059492678,0.4651453227589857,0.10816541807083528
60,679,0.002895035094669607,0.45535603979438416,0.10721341518825171
61,684,0.0028281037834200357,0.444828507024586,0.1008626432777674
62,689,0.002360565356865365,0.3712900387830019,0.07747018939472562
63,694,0.0020624188083095095,0.3243949832174485,0.06488479470645012
64,699,0.0022837172060877118,0.3592027001292964,0.07900288838841493
65,704,0.0029017407256635747,0.4564107591583593,0.1095039461723901
66,709,0.0036699348928780225,0.5772389502984175,0.1429583148475999
67,714,0.004367998474031016,0.6870363991873021,0.1686400259604711
68,719,0.004779616958728908,0.751779297621695,0.17670998680038227
69,724,0.005111877093218962,0.804040031628516,0.18429521101279064
70,729,0.004942965472554301,0.7774721579599969,0.1722826358180396
71,734,0.004311755998048507,0.678190098436482,0.1505473361645166
72,739,0.0038350472985583537,0.6032092507310277,0.1355739287646364
73,744,0.0029986898332424895,0.47165974932432225,0.1048414338759157
74,749,0.0025540353884833675,0.4017206707220327,0.08611516645520224
75,754,0.00236077089419677,0.3713223674637252,0.07726030810815707
76,759,0.0024302977797764943,0.38225815450655337,0.07941480950361603
77,764,0.0022149849678512303,0.34839190206083975,0.0711471404570653
78,769,0.0019786819667243537,0.3112241319765388,0.06420721479392126
79,774,0.0018413418957858693,0.2896221034129558,0.059684458580628645
80,779,0.001722155900734524,0.2708755041729464,0.05562636378294866
